"Solution Gas Oil Ratio, (SCF/STB)","Temperature, (F)","Gas Specific Gravity, (-)","Oil Specific Gravity, (-)","Bubble Point Pressure, (Psi)","API, (-)",Bo
634,214,0.717,0.8,2193,45.3,1.425
844,242,0.919,0.822,2402,40.7,1.619
664,214,0.75,0.811,2194,42.9,1.438
463,196,1.281,0.83,1562,38.9,1.261
267,211,1.263,0.835,1225,38.0,1.176
421,203,1.298,0.839,1660,37.1,1.221
355,209,1.228,0.85,1530,35.0,1.241
372,211,1.195,0.871,1760,31.0,1.222
260,211,1.168,0.835,1225,38.0,1.171
364,206,1.028,0.842,1700,36.6,1.232
313,205,1.174,0.834,1370,38.2,1.192
421,203,1.181,0.826,1593,39.8,1.268
415,224,1.14,0.844,1982,36.1,1.246
359,208,1.25,0.848,1450,35.4,1.214
366,207,1.315,0.83,1570,39.0,1.241
714,189,0.82,0.785,1750,48.7,1.521
606,189,0.707,0.777,1810,50.5,1.423
368,186,0.865,0.818,1658,41.4,1.212
888,228,0.73,0.783,2632,49.3,1.578
694,190,0.79,0.782,1755,49.5,1.481
397,215,0.941,0.817,1728,41.8,1.259
765,205,0.939,0.785,2058,48.8,1.52
547,238,0.693,0.8,2221,45.3,1.362
546,245,0.689,0.801,2274,45.2,1.451
494,230,0.677,0.804,2081,44.5,1.315
267,174,0.884,0.869,1220,31.4,1.173
956,226,0.811,0.81,2390,43.2,1.538
242,180,0.824,0.869,1302,31.4,1.17
169,187,0.638,0.881,1085,29.1,1.128
198,187,0.775,0.881,1271,29.2,1.139
214,180,0.664,0.866,1195,31.9,1.152
741,234,0.795,0.816,2562,42.0,1.491
274,150,1.005,0.826,790,39.8,1.168
566,185,0.817,0.801,1530,45.2,1.334
522,189,0.73,0.789,1510,47.8,1.365
563,217,0.759,0.787,1741,48.4,1.409
692,220,0.74,0.766,2111,53.2,1.471
628,199,0.762,0.787,1758,48.4,1.442
585,204,0.765,0.783,1769,49.1,1.401
599,204,0.767,0.788,1805,48.1,1.424
425,185,1.155,0.82,1414,41.0,1.249
1020,239,0.73,0.778,2540,50.4,1.712
686,224,0.8,0.792,1790,47.1,1.496
404,188,0.847,0.811,1620,42.9,1.265
856,211,0.916,0.794,2165,46.6,1.517
1170,231,0.858,0.784,2550,48.9,1.884
993,267,1.014,0.787,2360,48.4,1.716
491,211,1.051,0.829,2020,39.2,1.321
1022,216,1.045,0.789,2145,47.9,1.697
1011,210,1.05,0.787,2090,48.2,1.68
1006,280,0.876,0.794,2822,46.8,1.695
990,208,0.801,0.81,2290,43.1,1.653
1355,228,0.877,0.785,2500,48.8,1.843
1440,250,0.788,0.778,3148,50.3,1.954
142,146,0.667,0.893,952,26.9,1.092
440,235,0.756,0.863,2368,32.5,1.282
636,161,0.801,0.833,2310,38.3,1.345
683,166,0.821,0.832,2408,38.6,1.384
899,195,0.769,0.828,3449,39.3,1.503
863,192,0.764,0.838,3440,37.4,1.455
384,152,0.733,0.862,1910,32.6,1.238
544,164,0.789,0.839,2168,37.1,1.297
686,171,0.737,0.834,2480,38.2,1.357
680,169,0.818,0.84,2350,37.0,1.352
524,190,0.727,0.823,1744,40.5,1.325
761,247,0.723,0.859,3142,33.3,1.484
737,239,0.707,0.852,2970,34.6,1.445
367,173,0.627,0.837,1951,37.5,1.23
667,177,0.842,0.836,2616,37.7,1.371
285,152,0.704,0.895,1818,26.6,1.153
810,225,0.789,0.827,2611,39.6,1.525
220,127,0.79,0.864,1058,32.3,1.13
919,194,0.673,0.818,3387,41.4,1.505
341,159,0.716,0.838,1492,37.4,1.201
150,125,0.612,0.866,935,31.9,1.085
1023,209,0.658,0.824,3780,40.2,1.581
577,180,0.737,0.87,3063,31.2,1.301
713,169,0.765,0.825,2423,40.1,1.399
694,167,0.765,0.825,2360,40.0,1.399
366,153,0.664,0.851,1838,34.8,1.208
344,161,0.648,0.882,2106,28.9,1.194
